display  D   display_settings.c:214  debug_display_settings           [   0.11085] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11100] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.11108] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11117] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11125] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11134] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11145] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11156] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.11164] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11171] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.11177] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11186] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.11191] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11198] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11204] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11218] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11243] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11250] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11261] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11291] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11317] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11329] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11359] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
